ed_year,ed_type,ed_noc,sport,event,result_id,athlete,sex,age,height,weight,athl_noc,nb_participation,rank_n1,best_rank,medal_n,medal_n1,total_medals,proba_0,proba_1,prediction,rank,predict_final
2022,Winter,CHN,Cross Country Skiing,"15 kilometres, Men",1.9019712E7,Calle Halfvarsson,Male,33.0,184.0,79.0,SWE,1,9.0,9.0,0,0,0.0,0.9498901318641836,0.050109868135816464,0,22.0,0
2022,Winter,CHN,Cross Country Skiing,"30 kilometres Skiathlon, Men",1.9019714E7,Calle Halfvarsson,Male,33.0,184.0,79.0,SWE,1,,,0,0,0.0,0.9638326450774672,0.036167354922532716,0,60.0,0
2022,Winter,CHN,Cross Country Skiing,"50 kilometres, Men",1.9019713E7,Calle Halfvarsson,Male,33.0,184.0,79.0,SWE,1,,,0,0,0.0,0.9638326450774672,0.036167354922532716,0,51.0,0
2022,Winter,CHN,Freestyle Skiing,"Ski Cross, Women",1.902012E7,Sandra Näslund,Female,26.0,167.0,63.0,SWE,2,4.0,4.0,1,0,0.0,0.8453732495792876,0.15462675042071233,0,3.0,1
2022,Winter,CHN,Freestyle Skiing,"Moguls, Men",1.902005E7,Ludvig Fjällström,Male,29.0,180.0,70.0,SWE,2,26.0,19.0,0,0,0.0,0.9361977764490328,0.06380222355096736,0,20.0,0
2022,Winter,CHN,Freestyle Skiing,"Big Air, Men",1.90201E7,Henrik Harlaut,Male,31.0,169.0,73.0,SWE,0,,,1,0,0.0,0.937215200117136,0.06278479988286416,0,31.0,0
2022,Winter,CHN,Freestyle Skiing,"Slopestyle, Men",1.9020092E7,Henrik Harlaut,Male,31.0,169.0,73.0,SWE,2,17.0,6.0,0,0,0.0,0.9247036708806806,0.07529632911931933,0,19.0,0
2022,Winter,CHN,Freestyle Skiing,"Big Air, Men",1.90201E7,Jesper Tjäder,Male,28.0,167.0,53.0,SWE,0,,,0,0,0.0,0.9315397830927846,0.06846021690721539,0,15.0,0
2022,Winter,CHN,Freestyle Skiing,"Slopestyle, Men",1.9020092E7,Jesper Tjäder,Male,28.0,167.0,53.0,SWE,2,23.0,23.0,1,0,0.0,0.9113718957280426,0.08862810427195744,0,18.0,0
2022,Winter,CHN,Snowboarding,"Big Air, Men",1.9020738E7,Niklas Mattsson,Male,30.0,188.0,77.0,SWE,1,12.0,12.0,0,0,0.0,0.914270535898438,0.08572946410156193,0,20.0,0
2022,Winter,CHN,Snowboarding,"Slopestyle, Men",1.9020694E7,Niklas Mattsson,Male,30.0,188.0,77.0,SWE,2,9.0,9.0,0,0,0.0,0.914270535898438,0.08572946410156193,0,18.0,0
2022,Winter,CHN,Snowboarding,"Big Air, Men",1.9020738E7,Sven Thorgren,Male,28.0,172.0,70.0,SWE,0,,,0,0,0.0,0.9315397830927846,0.06846021690721539,0,21.0,0
2022,Winter,CHN,Snowboarding,"Slopestyle, Men",1.9020694E7,Sven Thorgren,Male,28.0,172.0,70.0,SWE,1,4.0,4.0,0,0,0.0,0.8453732495792876,0.15462675042071233,0,6.0,0
2022,Winter,CHN,Alpine Skiing,"Giant Slalom, Men",1.9019502E7,Yohan Goutt Gonçalves,Male,28.0,181.0,78.0,TLS,0,,,0,0,0.0,0.9790727087063854,0.020927291293614547,0,80.0,0
2022,Winter,CHN,Alpine Skiing,"Slalom, Men",1.9019505E7,Yohan Goutt Gonçalves,Male,28.0,181.0,78.0,TLS,2,,43.0,0,0,0.0,0.9790727087063854,0.020927291293614547,0,80.0,0
2022,Winter,CHN,Biathlon,"10 kilometres Pursuit, Women",1.9019636E7,Yuliya Dzhima,Female,32.0,166.0,66.0,UKR,1,,,0,0,0.0,0.9626896426215537,0.03731035737844639,0,56.0,0
2022,Winter,CHN,Biathlon,"12.5 kilometres Mass Start, Women",1.9019637E7,Yuliya Dzhima,Female,32.0,166.0,66.0,UKR,1,22.0,22.0,0,0,0.0,0.9278612621378102,0.07213873786218981,0,19.0,0
2022,Winter,CHN,Biathlon,"15 kilometres, Women",1.9019638E7,Yuliya Dzhima,Female,32.0,166.0,66.0,UKR,2,20.0,7.0,0,0,0.0,0.9483301235172612,0.05166987648273888,0,22.0,0
2022,Winter,CHN,Biathlon,"7.5 kilometres Sprint, Women",1.9019635E7,Yuliya Dzhima,Female,32.0,166.0,66.0,UKR,1,41.0,41.0,0,0,0.0,0.9626896426215537,0.03731035737844639,0,83.0,0
2022,Winter,CHN,Biathlon,"10 kilometres Sprint, Men",1.901963E7,Dmytro Pidruchnyi,Male,31.0,180.0,68.0,UKR,1,21.0,21.0,0,0,0.0,0.946016349950366,0.05398365004963402,0,25.0,0
2022,Winter,CHN,Biathlon,"12.5 kilometres Pursuit, Men",1.9019631E7,Dmytro Pidruchnyi,Male,31.0,180.0,68.0,UKR,1,34.0,34.0,0,0,0.0,0.960992438144057,0.039007561855942965,0,50.0,0
2022,Winter,CHN,Biathlon,"15 kilometres Mass Start, Men",1.9019632E7,Dmytro Pidruchnyi,Male,31.0,180.0,68.0,UKR,0,,,0,0,0.0,0.937215200117136,0.06278479988286416,0,25.0,0
2022,Winter,CHN,Biathlon,"20 kilometres, Men",1.9019633E7,Dmytro Pidruchnyi,Male,31.0,180.0,68.0,UKR,1,53.0,53.0,0,0,0.0,0.960992438144057,0.039007561855942965,0,78.0,0
2022,Winter,CHN,Biathlon,"10 kilometres Sprint, Men",1.901963E7,Artem Pryma,Male,35.0,180.0,70.0,UKR,2,40.0,31.0,0,0,0.0,0.9626896426215537,0.03731035737844639,0,88.0,0
2022,Winter,CHN,Biathlon,"12.5 kilometres Pursuit, Men",1.9019631E7,Artem Pryma,Male,35.0,180.0,70.0,UKR,2,38.0,38.0,0,0,0.0,0.9626896426215537,0.03731035737844639,0,55.0,0
2022,Winter,CHN,Biathlon,"15 kilometres Mass Start, Men",1.9019632E7,Artem Pryma,Male,35.0,180.0,70.0,UKR,0,,,0,0,0.0,0.9398822246717616,0.060117775328238365,0,26.0,0
2022,Winter,CHN,Biathlon,"20 kilometres, Men",1.9019633E7,Artem Pryma,Male,35.0,180.0,70.0,UKR,2,46.0,46.0,0,0,0.0,0.9626896426215537,0.03731035737844639,0,87.0,0
2022,Winter,CHN,Cross Country Skiing,"15 kilometres, Men",1.9019712E7,Oleksiy Krasovskyi,Male,28.0,177.0,67.0,UKR,2,80.0,69.0,0,0,0.0,0.9592249488471872,0.040775051152812665,0,36.0,0
2022,Winter,CHN,Cross Country Skiing,"30 kilometres Skiathlon, Men",1.9019714E7,Oleksiy Krasovskyi,Male,28.0,177.0,67.0,UKR,1,,,0,0,0.0,0.9592249488471872,0.040775051152812665,0,30.0,0
2022,Winter,CHN,Cross Country Skiing,"Sprint, Men",1.90197E7,Oleksiy Krasovskyi,Male,28.0,177.0,67.0,UKR,2,67.0,67.0,0,0,0.0,0.9592249488471872,0.040775051152812665,0,37.0,0
2022,Winter,CHN,Cross Country Skiing,"15 kilometres, Men",1.9019712E7,Ruslan Perekhoda,Male,35.0,182.0,75.0,UKR,0,,,0,0,0.0,0.9638326450774672,0.036167354922532716,0,86.0,0
2022,Winter,CHN,Cross Country Skiing,"30 kilometres Skiathlon, Men",1.9019714E7,Ruslan Perekhoda,Male,35.0,182.0,75.0,UKR,0,,,0,0,0.0,0.9638326450774672,0.036167354922532716,0,61.0,0
2022,Winter,CHN,Cross Country Skiing,"Sprint, Men",1.90197E7,Ruslan Perekhoda,Male,35.0,182.0,75.0,UKR,1,49.0,49.0,0,0,0.0,0.9638326450774672,0.036167354922532716,0,81.0,0
2022,Winter,CHN,Freestyle Skiing,"Aerials, Women",1.9020114E7,Anastasiya Novosad,Female,29.0,160.0,55.0,UKR,1,16.0,16.0,0,0,0.0,0.9113718957280426,0.08862810427195744,0,11.0,0
2022,Winter,CHN,Luge,"Singles, Women",1.902031E7,Olena Stetskiv,Female,28.0,174.0,71.0,UKR,2,28.0,26.0,0,0,0.0,0.9363547708300868,0.06364522916991308,0,14.0,0
2022,Winter,CHN,Luge,"Singles, Men",1.90203E7,Andriy Mandziy,Male,34.0,188.0,98.5,UKR,2,40.0,31.0,0,0,0.0,0.9536213364841952,0.0463786635158048,0,29.0,0
2022,Winter,CHN,Alpine Skiing,"Combined, Women",1.9019519E7,Mikaela Shiffrin,Female,27.0,170.0,64.0,USA,1,2.0,2.0,0,1,1.0,0.6247881083240223,0.3752118916759777,1,1.0,1
2022,Winter,CHN,Alpine Skiing,"Downhill, Women",1.9019511E7,Mikaela Shiffrin,Female,27.0,170.0,64.0,USA,0,,,0,0,0.0,0.9050756518018296,0.09492434819817047,0,4.0,0
2022,Winter,CHN,Alpine Skiing,"Giant Slalom, Women",1.9019513E7,Mikaela Shiffrin,Female,27.0,170.0,64.0,USA,2,1.0,1.0,0,1,1.0,0.5564443999763126,0.4435556000236873,1,1.0,1
2022,Winter,CHN,Alpine Skiing,"Slalom, Women",1.9019516E7,Mikaela Shiffrin,Female,27.0,170.0,64.0,USA,2,4.0,1.0,0,0,0.0,0.7690227763190224,0.2309772236809776,1,2.0,1
2022,Winter,CHN,Alpine Skiing,"Super G, Women",1.9019512E7,Mikaela Shiffrin,Female,27.0,170.0,64.0,USA,0,,,0,0,0.0,0.9050756518018296,0.09492434819817047,0,2.0,1
2022,Winter,CHN,Alpine Skiing,"Downhill, Women",1.9019511E7,Jacqueline Wiles,Female,30.0,170.0,70.0,USA,1,26.0,26.0,0,0,0.0,0.8850349997542175,0.1149650002457825,0,3.0,1
2022,Winter,CHN,Alpine Skiing,"Downhill, Men",1.90195E7,Travis Ganong,Male,34.0,180.0,88.0,USA,1,5.0,5.0,0,0,0.0,0.8458483394118945,0.15415166058810545,0,3.0,1
2022,Winter,CHN,Alpine Skiing,"Super G, Men",1.9019501E7,Travis Ganong,Male,34.0,180.0,88.0,USA,1,23.0,23.0,0,0,0.0,0.8961658251340047,0.10383417486599536,0,7.0,0
2022,Winter,CHN,Biathlon,"10 kilometres Pursuit, Women",1.9019636E7,Susan Dunklee,Female,36.0,170.0,64.0,USA,1,17.0,17.0,0,0,0.0,0.8995069625932253,0.10049303740677468,0,4.0,0
2022,Winter,CHN,Biathlon,"15 kilometres, Women",1.9019638E7,Susan Dunklee,Female,36.0,170.0,64.0,USA,2,19.0,19.0,0,0,0.0,0.8995069625932253,0.10049303740677468,0,4.0,0
2022,Winter,CHN,Biathlon,"7.5 kilometres Sprint, Women",1.9019635E7,Susan Dunklee,Female,36.0,170.0,64.0,USA,2,66.0,14.0,0,0,0.0,0.9031585106338196,0.09684148936618048,0,3.0,1
2022,Winter,CHN,Biathlon,"10 kilometres Sprint, Men",1.901963E7,Sean Doherty,Male,27.0,180.0,73.0,USA,1,65.0,65.0,0,0,0.0,0.9050756518018296,0.09492434819817047,0,3.0,1
2022,Winter,CHN,Biathlon,"12.5 kilometres Pursuit, Men",1.9019631E7,Sean Doherty,Male,27.0,180.0,73.0,USA,0,,,0,0,0.0,0.9050756518018296,0.09492434819817047,0,5.0,0
2022,Winter,CHN,Biathlon,"20 kilometres, Men",1.9019633E7,Sean Doherty,Male,27.0,180.0,73.0,USA,1,44.0,44.0,0,0,0.0,0.9050756518018296,0.09492434819817047,0,4.0,0
2022,Winter,CHN,Biathlon,"10 kilometres Sprint, Men",1.901963E7,Leif Nordgren,Male,33.0,188.0,79.0,USA,2,58.0,43.0,0,0,0.0,0.914137404176362,0.08586259582363798,0,8.0,0
2022,Winter,CHN,Biathlon,"20 kilometres, Men",1.9019633E7,Leif Nordgren,Male,33.0,188.0,79.0,USA,2,66.0,66.0,0,0,0.0,0.914137404176362,0.08586259582363798,0,9.0,0
2022,Winter,CHN,Bobsleigh,"Monobob, Women",1.9019671E7,Jazmine Fenlator-Victorian,Female,37.0,175.0,76.5,JAM,0,,,0,0,0.0,0.9416846314354159,0.058315368564583976,0,19.0,0
2022,Winter,CHN,Cross Country Skiing,"10 kilometres, Women",1.9019733E7,Jessie Diggins,Female,31.0,163.0,58.0,USA,1,5.0,5.0,0,0,0.0,0.8498912698309838,0.1501087301690162,0,3.0,1
2022,Winter,CHN,Cross Country Skiing,"15 kilometres Skiathlon, Women",1.9019735E7,Jessie Diggins,Female,31.0,163.0,58.0,USA,2,5.0,5.0,0,0,0.0,0.8498912698309838,0.1501087301690162,0,2.0,1
2022,Winter,CHN,Cross Country Skiing,"30 kilometres, Women",1.9019734E7,Jessie Diggins,Female,31.0,163.0,58.0,USA,2,7.0,7.0,1,0,0.0,0.8848783922658541,0.11512160773414595,0,3.0,1
2022,Winter,CHN,Cross Country Skiing,"Sprint, Women",1.9019721E7,Jessie Diggins,Female,31.0,163.0,58.0,USA,2,6.0,6.0,1,0,0.0,0.8317157135950938,0.16828428640490622,0,2.0,1
2022,Winter,CHN,Freestyle Skiing,"Halfpipe, Women",1.9020142E7,Devin Logan,Female,29.0,178.0,82.0,USA,1,15.0,15.0,0,0,0.0,0.8256384352444184,0.17436156475558168,0,3.0,1
2022,Winter,CHN,Freestyle Skiing,"Halfpipe, Women",1.9020142E7,Brita Sigourney,Female,32.0,168.0,56.0,USA,2,3.0,3.0,0,1,1.0,0.7726936001208741,0.2273063998791261,1,2.0,1
2022,Winter,CHN,Freestyle Skiing,"Halfpipe, Men",1.9020084E7,Aaron Blunck,Male,26.0,180.0,78.0,USA,2,7.0,7.0,0,0,0.0,0.8447429548637712,0.15525704513622882,0,4.0,0
2022,Winter,CHN,Freestyle Skiing,"Big Air, Men",1.90201E7,Nick Goepper,Male,28.0,183.0,73.0,USA,0,,,0,0,0.0,0.8469775067341478,0.1530224932658521,0,2.0,1
2022,Winter,CHN,Freestyle Skiing,"Slopestyle, Men",1.9020092E7,Nick Goepper,Male,28.0,183.0,73.0,USA,2,2.0,2.0,1,1,2.0,0.5597688523297937,0.4402311476702064,1,1.0,1
2022,Winter,CHN,Freestyle Skiing,"Halfpipe, Men",1.9020084E7,Gus Kenworthy,Male,31.0,178.0,77.0,GBR,0,,,0,0,0.0,0.960992438144057,0.039007561855942965,0,23.0,0
2022,Winter,CHN,Freestyle Skiing,"Moguls, Men",1.902005E7,Brad Wilson,Male,30.0,178.0,75.0,USA,2,18.0,18.0,0,0,0.0,0.8850349997542175,0.1149650002457825,0,6.0,0
2022,Winter,CHN,Freestyle Skiing,"Halfpipe, Men",1.9020084E7,David Wise,Male,32.0,183.0,84.0,USA,2,1.0,1.0,1,1,2.0,0.6731757363212059,0.3268242636787941,1,2.0,1
2022,Winter,CHN,Figure Skating,"Singles, Men",1.902E7,Jason Brown,Male,28.0,170.0,61.0,USA,1,9.0,9.0,0,0,0.0,0.8726110472701761,0.12738895272982384,0,6.0,0
2022,Winter,CHN,Luge,"Singles, Women",1.902031E7,Summer Britcher,Female,28.0,180.0,74.0,USA,2,19.0,15.0,0,0,0.0,0.8726110472701761,0.12738895272982384,0,2.0,1
2022,Winter,CHN,Luge,"Singles, Men",1.90203E7,Tucker West,Male,27.0,185.0,82.5,USA,2,26.0,22.0,0,0,0.0,0.861677324358058,0.13832267564194206,0,6.0,0
2022,Winter,CHN,Snowboarding,"Big Air, Women",1.9020805E7,Jamie Anderson,Female,32.0,160.0,54.0,USA,1,2.0,2.0,0,1,1.0,0.7671385398310903,0.2328614601689097,1,3.0,1
2022,Winter,CHN,Snowboarding,"Slopestyle, Women",1.9020774E7,Jamie Anderson,Female,32.0,160.0,54.0,USA,2,1.0,1.0,0,1,2.0,0.631615978692676,0.3683840213073239,1,1.0,1
2022,Winter,CHN,Snowboarding,"Halfpipe, Men",1.9020706E7,Ty Gold,Male,29.0,175.0,68.0,USA,1,14.0,14.0,0,0,0.0,0.8768224551388165,0.12317754486118347,0,5.0,0
2022,Winter,CHN,Speed Skating,"1,000 metres, Women",1.9020425E7,Brittany Bowe,Female,34.0,170.0,66.0,USA,2,4.0,4.0,1,0,0.0,0.8378700798271659,0.16212992017283398,0,3.0,1
2022,Winter,CHN,Speed Skating,"1,500 metres, Women",1.9020426E7,Brittany Bowe,Female,34.0,170.0,66.0,USA,2,5.0,5.0,0,0,0.0,0.8505385431075259,0.149461456892474,0,3.0,1
2022,Winter,CHN,Speed Skating,"500 metres, Women",1.9020424E7,Brittany Bowe,Female,34.0,170.0,66.0,USA,2,5.0,5.0,0,0,0.0,0.8505385431075259,0.149461456892474,0,2.0,1
2022,Winter,CHN,Speed Skating,"1,500 metres, Men",1.9020402E7,Emery Lehman,Male,26.0,183.0,79.0,USA,0,,,0,0,0.0,0.9013308723690168,0.09866912763098322,0,6.0,0
2022,Winter,CHN,Speed Skating,"5,000 metres, Men",1.9020403E7,Emery Lehman,Male,26.0,183.0,79.0,USA,2,21.0,16.0,0,0,0.0,0.8677726436477886,0.13222735635221136,0,4.0,0
2022,Winter,CHN,Speed Skating,"1,500 metres, Men",1.9020402E7,Joey Mantia,Male,36.0,173.0,78.0,USA,2,8.0,8.0,0,0,0.0,0.8891223185876631,0.11087768141233686,0,5.0,0
2022,Winter,CHN,Speed Skating,"Mass Start, Men",1.9020405E7,Joey Mantia,Male,36.0,173.0,78.0,USA,1,9.0,9.0,0,0,0.0,0.8625012375287164,0.13749876247128362,0,8.0,0
2022,Winter,CHN,Ski Jumping,"Normal Hill, Individual, Women",1.9020643E7,Špela Rogelj,Female,28.0,164.0,55.0,SLO,2,22.0,22.0,0,0,0.0,0.9113718957280426,0.08862810427195744,0,17.0,0
2020,Summer,JPN,Athletics,"100 metres, Women",1.9000663E7,Kamia Yousufi,Female,24.0,165.0,55.0,AFG,1,,,0,0,0.0,0.977841791220076,0.022158208779924197,0,46.0,0
2020,Summer,JPN,Athletics,"3,000 metres Steeplechase, Women",1.9000767E7,Luiza Gega,Female,32.0,159.0,45.0,ALB,1,,,0,0,0.0,0.9684765232915896,0.03152347670841026,0,41.0,0
2020,Summer,JPN,Swimming,"50 metres Freestyle, Women",1.9000164E7,Nikol Merizaj,Female,22.0,180.0,65.0,ALB,0,,,0,0,0.0,0.979098370228202,0.020901629771797863,0,52.0,0
2020,Summer,JPN,Swimming,"50 metres Freestyle, Women",1.9000164E7,Samantha Roberts,Female,20.0,172.0,64.0,ANT,1,57.0,57.0,0,0,0.0,0.979098370228202,0.020901629771797863,0,53.0,0
2020,Summer,JPN,Athletics,"3,000 metres Steeplechase, Women",1.9000767E7,Belén Casetta,Female,26.0,163.0,52.0,ARG,1,,,0,0,0.0,0.942527528013518,0.05747247198648195,0,39.0,0
2020,Summer,JPN,Canoe Sprint,"Kayak Singles, 200 metres, Women",1.9016207E7,Brenda Rojas,Female,25.0,166.0,64.0,ARG,0,,,0,0,0.0,0.927414810619593,0.07258518938040705,0,29.0,0
