Étiquettes de lignes;sport;Somme de prediction;Somme de predict_final;;demoday;dernier;
19000812;Athletics;6;3;;19000734;19000812;19000734
19000829;Athletics;4;3;;19000739;19000829;19000739
19000846;Athletics;3;3;;19000740;19000846;19000740
19000863;Athletics;4;3;;19000741;19000863;19000741
19000880;Athletics;2;3;;19000754;19000880;19000754
19000897;Athletics;1;3;;19000767;19000897;19000767
19001100;Trampolining;3;3;;19000784;19001100;19000784
19001105;Trampolining;2;3;;19000785;19001105;19000785
19001120;Golf;1;3;;19000790;19001120;19000790
19001127;Golf;3;3;;19000795;19001127;19000795
19001700;Cycling Road;1;3;;19000812;19001700;19000812
19001701;Cycling Road;1;3;;19000829;19001701;19000829
19001702;Cycling Road;2;3;;19000846;19001702;19000846
19001703;Cycling Road;1;3;;19000863;19001703;19000863
19001704;Cycling Mountain Bike;1;3;;19000880;19001704;19000880
19001705;Cycling Mountain Bike;3;3;;19000897;19001705;19000897
19001870;Cycling BMX Racing;4;3;;19001100;19001870;19001100
19001895;Cycling BMX Racing;4;3;;19001105;19001895;19001105
19001950;Rhythmic Gymnastics;0;3;;19001120;19001950;19001120
19002020;Weightlifting;3;3;;19001127;19002020;19001127
19002029;Weightlifting;2;3;;19001700;19002029;19001700
19002038;Weightlifting;1;3;;19001701;19002038;19001701
19002047;Weightlifting;2;3;;19001702;19002047;19001702
19002056;Weightlifting;0;3;;19001703;19002056;19001703
19002065;Weightlifting;2;3;;19001704;19002065;19001704
19002074;Weightlifting;2;3;;19001705;19002074;19001705
19002083;Weightlifting;4;3;;19001870;19002083;19001870
19002092;Weightlifting;3;3;;19001895;19002092;19001895
19002101;Weightlifting;2;3;;19001950;19002101;19001950
19002110;Weightlifting;0;3;;19002020;19002110;19002020
19002119;Weightlifting;2;3;;19002029;19002119;19002029
19002128;Weightlifting;2;3;;19002038;19002128;19002038
19002137;Weightlifting;3;3;;19002047;19002137;19002047
19002200;Diving;4;3;;19002056;19002200;19002056
19002234;Diving;2;3;;19002065;19002234;19002065
19002290;Diving;3;3;;19002074;19002290;19002074
19002318;Diving;2;3;;19002083;19002318;19002083
19002500;Modern Pentathlon;0;3;;19002092;19002500;19002092
19003172;Modern Pentathlon;0;3;;19002101;19003172;19002101
19003870;Table Tennis;2;3;;19002110;19003870;19002110
19004030;Table Tennis;2;3;;19002119;19004030;19002119
19004300;Taekwondo;13;3;;19002128;19004300;19002128
19004326;Taekwondo;14;3;;19002137;19004326;19002137
19004352;Taekwondo;13;3;;19002200;19004352;19002200
19004378;Taekwondo;10;3;;19002234;19004378;19002234
19004404;Taekwondo;15;3;;19002290;19004404;19002290
19004430;Taekwondo;15;3;;19002318;19004430;19002318
19004456;Taekwondo;12;3;;19002500;19004456;19002500
19004482;Taekwondo;12;3;;19003172;19004482;19003172
19004600;Tennis;0;3;;19003870;19004600;19003870
19004709;Tennis;1;3;;19004030;19004709;19004030
19004900;Cycling Track;2;3;;19004300;19004900;19004300
19004957;Cycling Track;5;3;;19004326;19004957;19004326
19005008;Cycling Track;2;3;;19004352;19005008;19004352
19005016;Cycling Track;2;3;;19004378;19005016;19004378
19005073;Cycling Track;2;3;;19004404;19005073;19004404
19005124;Cycling Track;3;3;;19004430;19005124;19004430
19005200;Badminton;3;3;;19004456;19005200;19004456
19005318;Badminton;4;3;;19004482;19005318;19004482
19005600;Boxing;4;3;;19004600;19005600;19004600
19005637;Boxing;2;3;;19004709;19005637;19004709
19005674;Boxing;3;3;;19004900;19005674;19004900
19005711;Boxing;2;3;;19004957;19005711;19004957
19005748;Boxing;1;3;;19005008;19005748;19005008
19005785;Boxing;2;3;;19005016;19005785;19005016
19005822;Boxing;3;3;;19005073;19005822;19005073
19005859;Boxing;4;3;;19005124;19005859;19005124
